"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","Login with correct email and password","LMS service","Thu Mar 26 11:04:37 UTC 2026","passed","Thu Mar 26 11:04:37 UTC 2026","Login","Authentication","",""
"","25","Get courses","LMS service","Thu Mar 26 11:04:38 UTC 2026","passed","Thu Mar 26 11:04:38 UTC 2026","Get entities","Courses","",""
"","515","Create user","LMS service","Thu Mar 26 11:04:44 UTC 2026","passed","Thu Mar 26 11:04:45 UTC 2026","Create entity","Users","",""
"","15","Create file","LMS service","Thu Mar 26 11:04:42 UTC 2026","passed","Thu Mar 26 11:04:42 UTC 2026","Create entity","Files","",""
"","18","Create exercise","LMS service","Thu Mar 26 11:04:39 UTC 2026","passed","Thu Mar 26 11:04:39 UTC 2026","Create entity","Exercises","",""
"","16","Get file with incorrect file id","LMS service","Thu Mar 26 11:04:44 UTC 2026","passed","Thu Mar 26 11:04:44 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Thu Mar 26 11:04:45 UTC 2026","passed","Thu Mar 26 11:04:45 UTC 2026","Get entity","Users","",""
"","27","Update course","LMS service","Thu Mar 26 11:04:38 UTC 2026","passed","Thu Mar 26 11:04:38 UTC 2026","Update entity","Courses","",""
"","24","Create course","LMS service","Thu Mar 26 11:04:39 UTC 2026","passed","Thu Mar 26 11:04:39 UTC 2026","Create entity","Courses","",""
"","20","Update exercise","LMS service","Thu Mar 26 11:04:41 UTC 2026","passed","Thu Mar 26 11:04:41 UTC 2026","Update entity","Exercises","",""
"","269","Get exercises","LMS service","Thu Mar 26 11:04:40 UTC 2026","passed","Thu Mar 26 11:04:40 UTC 2026","Get entities","Exercises","",""
"","505","Create user","LMS service","Thu Mar 26 11:04:43 UTC 2026","passed","Thu Mar 26 11:04:44 UTC 2026","Create entity","Users","",""
"","498","Create user","LMS service","Thu Mar 26 11:04:44 UTC 2026","passed","Thu Mar 26 11:04:44 UTC 2026","Create entity","Users","",""
"","16","Get exercise","LMS service","Thu Mar 26 11:04:41 UTC 2026","passed","Thu Mar 26 11:04:41 UTC 2026","Get entity","Exercises","",""
"","274","Delete exercise","LMS service","Thu Mar 26 11:04:42 UTC 2026","passed","Thu Mar 26 11:04:42 UTC 2026","Delete entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Thu Mar 26 11:04:43 UTC 2026","passed","Thu Mar 26 11:04:43 UTC 2026","Validate entity","Files","",""
"","244","Create file with empty filename","LMS service","Thu Mar 26 11:04:43 UTC 2026","passed","Thu Mar 26 11:04:43 UTC 2026","Validate entity","Files","",""
