"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","Tue Mar 31 10:42:45 UTC 2026","passed","Tue Mar 31 10:42:45 UTC 2026","Create entity","Exercises","",""
"","555","Create user","LMS service","Tue Mar 31 10:42:50 UTC 2026","passed","Tue Mar 31 10:42:51 UTC 2026","Create entity","Users","",""
"","287","Delete exercise","LMS service","Tue Mar 31 10:42:48 UTC 2026","passed","Tue Mar 31 10:42:48 UTC 2026","Delete entity","Exercises","",""
"","533","Create user","LMS service","Tue Mar 31 10:42:49 UTC 2026","passed","Tue Mar 31 10:42:50 UTC 2026","Create entity","Users","",""
"","526","Create user","LMS service","Tue Mar 31 10:42:50 UTC 2026","passed","Tue Mar 31 10:42:50 UTC 2026","Create entity","Users","",""
"","27","Create course","LMS service","Tue Mar 31 10:42:45 UTC 2026","passed","Tue Mar 31 10:42:45 UTC 2026","Create entity","Courses","",""
"","17","Create file","LMS service","Tue Mar 31 10:42:48 UTC 2026","passed","Tue Mar 31 10:42:48 UTC 2026","Create entity","Files","",""
"","294","Get exercises","LMS service","Tue Mar 31 10:42:46 UTC 2026","passed","Tue Mar 31 10:42:46 UTC 2026","Get entities","Exercises","",""
"","15","Create file with empty directory","LMS service","Tue Mar 31 10:42:49 UTC 2026","passed","Tue Mar 31 10:42:49 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Tue Mar 31 10:42:47 UTC 2026","passed","Tue Mar 31 10:42:47 UTC 2026","Get entity","Exercises","",""
"","259","Create file with empty filename","LMS service","Tue Mar 31 10:42:49 UTC 2026","passed","Tue Mar 31 10:42:49 UTC 2026","Validate entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Tue Mar 31 10:42:50 UTC 2026","passed","Tue Mar 31 10:42:50 UTC 2026","Validate entity","Files","",""
"","35","Update course","LMS service","Tue Mar 31 10:42:44 UTC 2026","passed","Tue Mar 31 10:42:44 UTC 2026","Update entity","Courses","",""
"","12","Get user me","LMS service","Tue Mar 31 10:42:51 UTC 2026","passed","Tue Mar 31 10:42:51 UTC 2026","Get entity","Users","",""
"","552","Login with correct email and password","LMS service","Tue Mar 31 10:42:43 UTC 2026","passed","Tue Mar 31 10:42:43 UTC 2026","Login","Authentication","",""
"","21","Update exercise","LMS service","Tue Mar 31 10:42:47 UTC 2026","passed","Tue Mar 31 10:42:47 UTC 2026","Update entity","Exercises","",""
"","29","Get courses","LMS service","Tue Mar 31 10:42:44 UTC 2026","passed","Tue Mar 31 10:42:44 UTC 2026","Get entities","Courses","",""
