"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Create user","LMS service","Tue Mar 31 10:52:09 UTC 2026","passed","Tue Mar 31 10:52:09 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Tue Mar 31 10:52:09 UTC 2026","passed","Tue Mar 31 10:52:09 UTC 2026","Create entity","Users","",""
"","260","Create file with empty filename","LMS service","Tue Mar 31 10:52:07 UTC 2026","passed","Tue Mar 31 10:52:07 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Tue Mar 31 10:52:04 UTC 2026","passed","Tue Mar 31 10:52:04 UTC 2026","Create entity","Exercises","",""
"","292","Update exercise","LMS service","Tue Mar 31 10:52:06 UTC 2026","passed","Tue Mar 31 10:52:06 UTC 2026","Update entity","Exercises","",""
"","24","Delete exercise","LMS service","Tue Mar 31 10:52:06 UTC 2026","passed","Tue Mar 31 10:52:06 UTC 2026","Delete entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Tue Mar 31 10:52:09 UTC 2026","passed","Tue Mar 31 10:52:09 UTC 2026","Validate entity","Files","",""
"","266","Create file","LMS service","Tue Mar 31 10:52:07 UTC 2026","passed","Tue Mar 31 10:52:07 UTC 2026","Create entity","Files","",""
"","314","Update course","LMS service","Tue Mar 31 10:52:02 UTC 2026","passed","Tue Mar 31 10:52:02 UTC 2026","Update entity","Courses","",""
"","554","Create user","LMS service","Tue Mar 31 10:52:08 UTC 2026","passed","Tue Mar 31 10:52:09 UTC 2026","Create entity","Users","",""
"","21","Get exercise","LMS service","Tue Mar 31 10:52:05 UTC 2026","passed","Tue Mar 31 10:52:05 UTC 2026","Get entity","Exercises","",""
"","31","Create course","LMS service","Tue Mar 31 10:52:03 UTC 2026","passed","Tue Mar 31 10:52:03 UTC 2026","Create entity","Courses","",""
"","28","Get courses","LMS service","Tue Mar 31 10:52:03 UTC 2026","passed","Tue Mar 31 10:52:03 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Tue Mar 31 10:52:10 UTC 2026","passed","Tue Mar 31 10:52:10 UTC 2026","Get entity","Users","",""
"","263","Create file with empty directory","LMS service","Tue Mar 31 10:52:08 UTC 2026","passed","Tue Mar 31 10:52:08 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS service","Tue Mar 31 10:52:05 UTC 2026","passed","Tue Mar 31 10:52:05 UTC 2026","Get entities","Exercises","",""
"","554","Login with correct email and password","LMS service","Tue Mar 31 10:52:01 UTC 2026","passed","Tue Mar 31 10:52:02 UTC 2026","Login","Authentication","",""
