"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file","LMS service","Thu Mar 26 11:21:26 UTC 2026","passed","Thu Mar 26 11:21:26 UTC 2026","Create entity","Files","",""
"","288","Create user","LMS service","Thu Mar 26 11:21:28 UTC 2026","passed","Thu Mar 26 11:21:28 UTC 2026","Create entity","Users","",""
"","32","Update course","LMS service","Thu Mar 26 11:21:22 UTC 2026","passed","Thu Mar 26 11:21:22 UTC 2026","Update entity","Courses","",""
"","551","Login with correct email and password","LMS service","Thu Mar 26 11:21:21 UTC 2026","passed","Thu Mar 26 11:21:21 UTC 2026","Login","Authentication","",""
"","258","Create file with empty filename","LMS service","Thu Mar 26 11:21:27 UTC 2026","passed","Thu Mar 26 11:21:27 UTC 2026","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Thu Mar 26 11:21:26 UTC 2026","passed","Thu Mar 26 11:21:26 UTC 2026","Delete entity","Exercises","",""
"","542","Create user","LMS service","Thu Mar 26 11:21:28 UTC 2026","passed","Thu Mar 26 11:21:29 UTC 2026","Create entity","Users","",""
"","18","Get file with incorrect file id","LMS service","Thu Mar 26 11:21:28 UTC 2026","passed","Thu Mar 26 11:21:28 UTC 2026","Validate entity","Files","",""
"","295","Get exercises","LMS service","Thu Mar 26 11:21:24 UTC 2026","passed","Thu Mar 26 11:21:24 UTC 2026","Get entities","Exercises","",""
"","264","Create file with empty directory","LMS service","Thu Mar 26 11:21:27 UTC 2026","passed","Thu Mar 26 11:21:28 UTC 2026","Validate entity","Files","",""
"","19","Get exercise","LMS service","Thu Mar 26 11:21:25 UTC 2026","passed","Thu Mar 26 11:21:25 UTC 2026","Get entity","Exercises","",""
"","23","Create exercise","LMS service","Thu Mar 26 11:21:23 UTC 2026","passed","Thu Mar 26 11:21:23 UTC 2026","Create entity","Exercises","",""
"","290","Update exercise","LMS service","Thu Mar 26 11:21:25 UTC 2026","passed","Thu Mar 26 11:21:25 UTC 2026","Update entity","Exercises","",""
"","26","Get courses","LMS service","Thu Mar 26 11:21:22 UTC 2026","passed","Thu Mar 26 11:21:22 UTC 2026","Get entities","Courses","",""
"","29","Create course","LMS service","Thu Mar 26 11:21:23 UTC 2026","passed","Thu Mar 26 11:21:23 UTC 2026","Create entity","Courses","",""
"","551","Create user","LMS service","Thu Mar 26 11:21:28 UTC 2026","passed","Thu Mar 26 11:21:28 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Thu Mar 26 11:21:29 UTC 2026","passed","Thu Mar 26 11:21:29 UTC 2026","Get entity","Users","",""
