"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Update course","LMS service","Tue Mar 31 12:47:18 UTC 2026","passed","Tue Mar 31 12:47:19 UTC 2026","Update entity","Courses","",""
"","249","Create file with empty directory","LMS service","Tue Mar 31 12:47:24 UTC 2026","passed","Tue Mar 31 12:47:24 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Mar 31 12:47:26 UTC 2026","passed","Tue Mar 31 12:47:26 UTC 2026","Get entity","Users","",""
"","510","Login with correct email and password","LMS service","Tue Mar 31 12:47:18 UTC 2026","passed","Tue Mar 31 12:47:18 UTC 2026","Login","Authentication","",""
"","272","Get exercises","LMS service","Tue Mar 31 12:47:21 UTC 2026","passed","Tue Mar 31 12:47:21 UTC 2026","Get entities","Exercises","",""
"","245","Create file with empty filename","LMS service","Tue Mar 31 12:47:23 UTC 2026","passed","Tue Mar 31 12:47:24 UTC 2026","Validate entity","Files","",""
"","26","Get courses","LMS service","Tue Mar 31 12:47:19 UTC 2026","passed","Tue Mar 31 12:47:19 UTC 2026","Get entities","Courses","",""
"","16","Get file with incorrect file id","LMS service","Tue Mar 31 12:47:25 UTC 2026","passed","Tue Mar 31 12:47:25 UTC 2026","Validate entity","Files","",""
"","19","Create exercise","LMS service","Tue Mar 31 12:47:20 UTC 2026","passed","Tue Mar 31 12:47:20 UTC 2026","Create entity","Exercises","",""
"","31","Create course","LMS service","Tue Mar 31 12:47:20 UTC 2026","passed","Tue Mar 31 12:47:20 UTC 2026","Create entity","Courses","",""
"","20","Delete exercise","LMS service","Tue Mar 31 12:47:22 UTC 2026","passed","Tue Mar 31 12:47:23 UTC 2026","Delete entity","Exercises","",""
"","272","Create user","LMS service","Tue Mar 31 12:47:25 UTC 2026","passed","Tue Mar 31 12:47:25 UTC 2026","Create entity","Users","",""
"","275","Update exercise","LMS service","Tue Mar 31 12:47:22 UTC 2026","passed","Tue Mar 31 12:47:22 UTC 2026","Update entity","Exercises","",""
"","527","Create user","LMS service","Tue Mar 31 12:47:25 UTC 2026","passed","Tue Mar 31 12:47:25 UTC 2026","Create entity","Users","",""
"","19","Get exercise","LMS service","Tue Mar 31 12:47:21 UTC 2026","passed","Tue Mar 31 12:47:21 UTC 2026","Get entity","Exercises","",""
"","252","Create file","LMS service","Tue Mar 31 12:47:23 UTC 2026","passed","Tue Mar 31 12:47:23 UTC 2026","Create entity","Files","",""
"","526","Create user","LMS service","Tue Mar 31 12:47:24 UTC 2026","passed","Tue Mar 31 12:47:25 UTC 2026","Create entity","Users","",""
